iter	Logloss
0	0.4400297904
1	0.3151587673
2	0.259480974
3	0.1844958768
4	0.1443356475
5	0.1175907889
6	0.1030964372
7	0.08579475405
8	0.07366344834
9	0.06948346232
10	0.06243072785
11	0.05860512596
12	0.05496657826
13	0.05082478829
14	0.04746497104
15	0.04506990795
16	0.04364258389
17	0.04204606907
18	0.03996633287
19	0.03691596045
20	0.03489473627
21	0.03341667052
22	0.03240355934
23	0.0303513326
24	0.02947090522
25	0.02830239819
26	0.02721280299
27	0.0263237503
28	0.02566409438
29	0.02503481246
30	0.02440348386
31	0.02411698526
32	0.02335634922
33	0.02275016618
34	0.02160759416
35	0.02110285746
36	0.02072406967
37	0.02030748723
38	0.01894042076
39	0.01857635513
40	0.01837039368
41	0.01810451231
42	0.0174948859
43	0.01716472887
44	0.01700912895
45	0.0169144664
46	0.01652973013
47	0.01626443567
48	0.01591352775
49	0.01534527318
50	0.01522336184
51	0.01479952645
52	0.01437049047
53	0.01424610402
54	0.01398791729
55	0.01375756745
56	0.01364446146
57	0.0135344168
58	0.0133300142
59	0.01319025182
60	0.01313401279
61	0.01278683918
62	0.01250229947
63	0.01237639803
64	0.01216659075
65	0.0119642072
66	0.01179086593
67	0.01168704569
68	0.01149451318
69	0.01131411424
70	0.01117550495
71	0.01092729303
72	0.01073551601
73	0.01068091982
74	0.01061159767
75	0.01056768511
76	0.01045171804
77	0.01024145489
78	0.01016840112
79	0.01005459926
80	0.009968201854
81	0.009921745059
82	0.009798832201
83	0.00963221363
84	0.009572406646
85	0.009538197247
86	0.009516421189
87	0.0094605465
88	0.009354216164
89	0.009260504437
90	0.009186539621
91	0.009158592629
92	0.009130270924
93	0.009090031131
94	0.008879105028
95	0.008714183018
96	0.008669018264
97	0.008538165879
98	0.008451027031
99	0.008386488462
100	0.00827157149
101	0.008174772065
102	0.008149125441
103	0.008124799077
104	0.008109906914
105	0.008088613948
106	0.008002688007
107	0.007902937525
108	0.007874245203
109	0.007855441127
110	0.00781644218
111	0.007704312097
112	0.007648409784
113	0.007596866407
114	0.007526028542
115	0.007458636707
116	0.007392826671
117	0.007313869666
118	0.007270819751
119	0.007222814339
120	0.007151766199
121	0.007135374937
122	0.007085615837
123	0.007070494234
124	0.006983335149
125	0.006968824942
126	0.006956506206
127	0.006928741801
128	0.006915905805
129	0.006888471121
130	0.006847935984
131	0.006821848769
132	0.006756971117
133	0.006755680938
134	0.006755236349
135	0.006748697561
136	0.006680668671
137	0.00660800619
138	0.006543998214
139	0.006542424451
140	0.006528965894
141	0.006494696386
142	0.006427001482
143	0.006417280921
144	0.006395569716
145	0.006331266652
146	0.006257151015
147	0.006195764029
148	0.006195732489
149	0.006154325958
150	0.006124030822
151	0.006116361501
152	0.006108440384
153	0.006083971124
154	0.006077795502
155	0.006018775016
156	0.005944392186
157	0.005944354546
158	0.00594435399
159	0.005944309349
160	0.005903576648
161	0.005873336024
162	0.005873330062
163	0.005836521492
164	0.005822150344
165	0.005796413876
166	0.005790224487
167	0.005777590349
168	0.005768065415
169	0.005760703318
170	0.005727391122
171	0.005700213075
172	0.005678934494
173	0.005678896854
174	0.00567896749
175	0.00567892881
176	0.005678915986
177	0.005678940941
178	0.005678933801
179	0.005672565401
180	0.005672535664
181	0.005639351581
182	0.005601516744
183	0.005559888297
184	0.005559253328
185	0.005559217699
186	0.005548026657
187	0.00554235857
188	0.00551448293
189	0.005485681014
190	0.005413967299
191	0.005406314476
192	0.005382430754
193	0.005376361262
194	0.005371895792
195	0.005366623232
196	0.005362996494
197	0.005331995247
198	0.005316397166
199	0.005316230904
